Isolate_Id	Isolate_Name	Subtype	Host	Country	Region	Collection_Date	Segments_in_metadata	n_segs_sequenced	Missing_metadata_segs	Missing_sequence_segs	Short_sequence_segs
EPI_ISL_20254989	B/Madagascar/02532/2025	B	Human	Madagascar	Alaotra-Mangoro	2025-06-27	7	7	PB1	PB1	
EPI_ISL_20254987	B/Madagascar/02339/2025	B	Human	Madagascar	Alaotra-Mangoro	2025-06-12	7	7	PB1	PB1	
EPI_ISL_20254982	B/Madagascar/02285/2025	B	Human	Madagascar	Alaotra-Mangoro	2025-06-04	7	7	PA	PA	
EPI_ISL_20254978	B/Madagascar/02181/2025	B	Human	Madagascar	Bongolava	2025-06-03	7	7	PB1	PB1	
EPI_ISL_20090077	B/Madagascar/74053/2025	B	Human	Madagascar	Analamanga	2025-06-24	7	7	PB2	PB2	
EPI_ISL_20090072	B/Madagascar/02455/2025	B	Human	Madagascar	Bongolava	2025-06-17	7	7	PA	PA	
EPI_ISL_20090069	B/Madagascar/02329/2025	B	Human	Madagascar	Analamanga	2025-06-15	7	7	PB2	PB2	
EPI_ISL_20090068	B/Madagascar/02277/2025	B	Human	Madagascar	Analamanga	2025-06-11	7	7	PB2	PB2	
EPI_ISL_20090064	B/Madagascar/00606/2025	B	Human	Madagascar	Analamanga	2025-03-05	7	7	PB2	PB2	
EPI_ISL_20090062	B/Madagascar/00255/2025	B	Human	Madagascar	Analamanga	2025-01-28	7	7	PB2	PB2	
EPI_ISL_16830730	B/Madagascar/3976/2022	B	Human	Madagascar		2022-05-12	7	7	PB1	PB1	
EPI_ISL_16830680	B/Madagascar/6252/2022	B	Human	Madagascar		2022-09-14	7	7	MP	MP	
EPI_ISL_16830272	B/Nosy Be/07576/2022	B	Human	Madagascar		2022-12-12	7	7	PB2	PB2	
EPI_ISL_274407	B/Toamasina/1836/2017	B	Human	Madagascar		2017-04-24	7	7	PB2	PB2	
EPI_ISL_274406	B/Toamasina/1430/2017	B	Human	Madagascar		2017-04-04	7	7	PB2	PB2	
EPI_ISL_20150225	B/Madagascar/1760/2025	B	Human	Madagascar		2025-05-07	7	7	PB2	PB2	
EPI_ISL_19854874	B/Madagascar/00868/2025	B	Human	Madagascar	Haute Matsiatra	2025-03-18	7	7	PB1	PB1	
EPI_ISL_19854873	B/Madagascar/00836/2025	B	Human	Madagascar	Analamanga	2025-03-13	7	7	PB2	PB2	
EPI_ISL_19854872	B/Madagascar/00763/2025	B	Human	Madagascar	Atsimo-Andrefana	2025-03-10	7	7	PB2	PB2	
EPI_ISL_19854870	B/Madagascar/00732/2025	B	Human	Madagascar	Alaotra-Mangoro	2025-03-11	7	7	PB2	PB2	
EPI_ISL_19854868	B/Madagascar/00629/2025	B	Human	Madagascar	Atsinanana	2025-02-17	7	7	PB2	PB2	
EPI_ISL_19854863	B/Madagascar/00424/2025	B	Human	Madagascar	Atsimo-Andrefana	2025-02-07	7	7	PB2	PB2	
EPI_ISL_19854862	B/Madagascar/00378/2025	B	Human	Madagascar	Boeny	2025-02-07	7	7	PB2	PB2	
EPI_ISL_19854861	B/Madagascar/00343/2025	B	Human	Madagascar	Sofia	2025-01-27	7	7	PB2	PB2	
EPI_ISL_18486172	B/Antananarivo/01691/2023	B	Human	Madagascar		2023-06-01	7	7	PB1	PB1	
EPI_ISL_18486164	B/Toamasina/01303/2023	B	Human	Madagascar		2023-04-18	7	7	PB2	PB2	
EPI_ISL_18486163	B/Toamasina/01248/2023	B	Human	Madagascar		2023-04-24	7	7	PB2	PB2	
EPI_ISL_18167592	B/Antananarivo/01767/2023	B	Human	Madagascar		2023-06-12	7	7	MP	MP	
EPI_ISL_18167589	B/Antananarivo/01799/2023	B	Human	Madagascar		2023-06-14	7	7	MP	MP	
EPI_ISL_18167573	B/Toliary/01284/2023	B	Human	Madagascar		2023-04-25	7	7	PB1	PB1	
EPI_ISL_19774338	B/Madagascar/03422/2024	B	Human	Madagascar		2024-11-06	7	7	PB1	PB1	
EPI_ISL_19774320	B/Madagascar/03297/2024	B	Human	Madagascar		2024-10-29	7	7	PB1	PB1	
EPI_ISL_17225742	B/Morondava/07092/2022	B	Human	Madagascar		2022-11-21	7	7	PB1	PB1	
EPI_ISL_17225738	B/Morondava/07368/2022	B	Human	Madagascar		2022-12-02	7	7	PB1	PB1	
EPI_ISL_14727228	B/Madagascar/5177/2022	B	Human	Madagascar		2022-07-04	7	7	PA	PA	
EPI_ISL_19382080	B/Fianarantsoa/02052/2024	B	Human	Madagascar		2024-01-01	7	7	PB1	PB1	
EPI_ISL_19382079	B/Moramanga/01434/2024	B	Human	Madagascar		2024-05-08	7	7	PB1	PB1	
EPI_ISL_19382074	B/Ambositra/01883/2024	B	Human	Madagascar		2024-06-17	7	7	PB1	PB1	
EPI_ISL_19382071	B/Fianarantsoa/01887/2024	B	Human	Madagascar		2024-06-18	7	7	PB1	PB1	
EPI_ISL_19382058	B/Antananarivo/02104/2024	B	Human	Madagascar		2024-07-07	7	7	PB1	PB1	
EPI_ISL_19382057	B/Antananarivo/02109/2024	B	Human	Madagascar		2024-07-07	7	7	PB1	PB1	
EPI_ISL_19530523	A/Madagascar/02577/2024	A / H1N1	Human	Madagascar	Analamanga	2024-08-19	6	6	PB1;NA	PB1;NA	
EPI_ISL_19530515	A/Madagascar/02466/2024	A / H3N2	Human	Madagascar	Bongolava	2024-08-07	6	6	PB2;PA	PB2;PA	
EPI_ISL_19530514	A/Madagascar/02465/2024	A / H1N1	Human	Madagascar	Vakinankaratra	2024-08-08	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19530509	A/Madagascar/01969/2024	A / H3N2	Human	Madagascar	Amoron'i Mania	2024-06-25	6	6	PB1;PA	PB1;PA	
EPI_ISL_19530507	A/Madagascar/01832/2024	A / H1N1	Human	Madagascar	Itasy	2024-06-17	6	6	PB1;PA	PB1;PA	
EPI_ISL_19530501	A/Madagascar/01751/2024	A / H1N1	Human	Madagascar	Itasy	2024-06-14	6	6	PB1;PA	PB1;PA	
EPI_ISL_19530485	A/Madagascar/02791/2024	A / H1N1	Human	Madagascar	Amoron'i Mania	2024-09-09	6	6	PB1;PA	PB1;PA	
EPI_ISL_19530480	A/Madagascar/02550/2024	A / H1N1	Human	Madagascar	Alaotra-Mangoro	2024-08-09	6	6	PB1;PA	PB1;PA	
EPI_ISL_20090061	A/Madagascar/71255/2025	A / H1N1	Human	Madagascar	Analamanga	2025-02-24	6	6	PB1;PA	PB1;PA	
EPI_ISL_20090057	A/Madagascar/73139/2025	A / H1N1	Human	Madagascar	Analamanga	2025-05-22	6	6	PB1;PA	PB1;PA	
EPI_ISL_20090055	A/Madagascar/71711/2025	A / H3N2	Human	Madagascar	Analamanga	2025-04-01	6	6	PB2;PA	PB2;PA	
EPI_ISL_20090050	A/Madagascar/00987/2025	A / H1N1	Human	Madagascar	Analamanga	2025-03-26	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18226889	A/Fianarantsoa/01808/2023	A / H1N1	Human	Madagascar		2023-06-14	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18226888	A/Antsirabe/01812/2023	A / H1N1	Human	Madagascar		2023-06-14	6	6	PB2;PA	PB2;PA	
EPI_ISL_20325349	A/Madagascar/04178/2025	A / H3N2	Human	Madagascar		2025-12-01	6	6	PB2;PA	PB2;PA	
EPI_ISL_20325346	A/Madagascar/04140/2025	A / H3N2	Human	Madagascar		2025-12-01	6	6	PB1;NP	PB1;NP	
EPI_ISL_19704265	A/Madagascar/81992/2024	A / H3N2	Human	Madagascar		2024-12-24	6	6	PA;NS	PA;NS	
EPI_ISL_19704258	A/Madagascar/00021/2025	A / H1N1	Human	Madagascar	Diana	2024-12-30	6	6	PB2;PA	PB2;PA	
EPI_ISL_19638440	A/Madagascar/03710/2024	A / H3N2	Human	Madagascar	Analamanga	2024-11-29	6	6	PB1;PA	PB1;PA	
EPI_ISL_20264913	A/Madagascar/03966/2025	A / H3N2	Human	Madagascar	Alaotra-Mangoro	2025-11-18	6	6	PB2;PA	PB2;PA	
EPI_ISL_19382053	A/Antananarivo/01609/2024	A / H1N1	Human	Madagascar		2024-05-30	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19382042	A/Itasy/01843/2024	A / H1N1	Human	Madagascar		2024-06-17	6	6	PB2;PA	PB2;PA	
EPI_ISL_19382033	A/Itasy/01813/2024	A / H1N1	Human	Madagascar		2024-06-18	6	6	PB2;PA	PB2;PA	
EPI_ISL_19382028	A/Antananarivo/01916/2024	A / H1N1	Human	Madagascar		2024-06-20	6	6	PB1;PA	PB1;PA	
EPI_ISL_19382026	A/Toamasina/01947/2024	A / H1N1	Human	Madagascar		2024-06-20	6	6	PB1;PA	PB1;PA	
EPI_ISL_19382024	A/Antananarivo/01900/2024	A / H1N1	Human	Madagascar		2024-06-21	6	6	PB1;PA	PB1;PA	
EPI_ISL_19382022	A/Toamasina/01961/2024	A / H1N1	Human	Madagascar		2024-06-23	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19085871	A/Sainte Marie/03342/2023	A / H3N2	Human	Madagascar		2023-11-23	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19085870	A/Antananarivo/02981/2023	A / H3N2	Human	Madagascar		2023-11-24	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19907483	A/Madagascar/01899/2025	A / H3N2	Human	Madagascar	Vakinankaratra	2025-05-17	6	6	PA;NS	PA;NS	
EPI_ISL_19907481	A/Madagascar/01346/2025	A / H3N2	Human	Madagascar	Menabe	2025-04-16	6	6	PB1;NS	PB1;NS	
EPI_ISL_19907479	A/Madagascar/02060/2025	A / H1N1	Human	Madagascar	Alaotra-Mangoro	2025-05-26	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19907475	A/Madagascar/01999/2025	A / H1N1	Human	Madagascar	Analamanga	2025-05-19	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19907473	A/Madagascar/01817/2025	A / H1N1	Human	Madagascar	Analamanga	2025-05-11	6	6	PB1;PA	PB1;PA	
EPI_ISL_19907471	A/Madagascar/01483/2025	A / H1N1	Human	Madagascar	Analamanga	2025-04-24	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19907470	A/Madagascar/01482/2025	A / H1N1	Human	Madagascar	Analamanga	2025-04-24	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19382015	A/Moramanga/01996/2024	A / H1N1	Human	Madagascar		2024-06-28	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19382013	A/Antsirabe/02030/2024	A / H1N1	Human	Madagascar		2024-07-01	6	6	PB1;PA	PB1;PA	
EPI_ISL_2932719	A/Toamasina/00138/2020	A / H1N1	Human	Madagascar		2020-01-07	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_2932715	A/Mahajanga/00562/2020	A / H1N1	Human	Madagascar		2020-02-11	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18303949	A/Madagascar/1655/2023	A / H1	Human	Madagascar		2023-05-31	6	6	PB2;NA	PB2;NA	
EPI_ISL_1034783	A/Nosy Be/00144/2020	A / H1N1	Human	Madagascar		2020-01-06	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_1034780	A/Mahajanga/00562/2020	A / H1N1	Human	Madagascar		2020-02-11	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20337082	A/Madagascar/04479/2025	A / H3N2	Human	Madagascar		2025-12-29	6	6	PB2;PA	PB2;PA	
EPI_ISL_20337068	A/Madagascar/04331/2025	A / H3N2	Human	Madagascar		2025-12-15	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20337066	A/Madagascar/04314/2025	A / H3N2	Human	Madagascar		2025-12-16	6	6	PB2;PA	PB2;PA	
EPI_ISL_20206042	A/Madagascar/02284/2025	A / H3N2	Human	Madagascar		2025-06-04	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19386914	A/Toamasina/01641/2024	A / H1N1	Human	Madagascar		2024-06-03	6	6	PB2;PA	PB2;PA	
EPI_ISL_20240061	A/Madagascar/03617/2025	A / H1N1	Human	Madagascar	Anosy	2025-10-16	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20240055	A/Madagascar/03456/2025	A / H3N2	Human	Madagascar	Analamanga	2025-10-06	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20142030	A/Madagascar/74532/2025	A / H3N2	Human	Madagascar	Analamanga	2025-07-15	6	6	MP;NS	MP;NS	
EPI_ISL_20142029	A/Madagascar/02865/2025	A / H3N2	Human	Madagascar	Atsimo-Andrefana	2025-07-30	6	6	NP;MP	NP;MP	
EPI_ISL_20142018	A/Madagascar/02844/2025	A / H3N2	Human	Madagascar	Amoron'i Mania	2025-07-28	6	6	NP;MP	NP;MP	
EPI_ISL_20142007	A/Madagascar/02665/2025	A / H3N2	Human	Madagascar	Diana	2025-07-09	6	6	PB1;PA	PB1;PA	
EPI_ISL_20142006	A/Madagascar/02585/2025	A / H1N1	Human	Madagascar	Analamanga	2025-07-07	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19355312	A/Madagascar/274/2024	A / H3	Human	Madagascar		2024-01-21	6	6	PA;NA	PA;NA	
EPI_ISL_18962609	A/Antananarivo/02515/2023	A / H1N1	Human	Madagascar		2023-10-03	6	6	PB1;PA	PB1;PA	
EPI_ISL_18962608	A/Antananarivo/02526/2023	A / H1N1	Human	Madagascar		2023-10-06	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18962563	A/Sainte Marie/03342/2023	A / H3N2	Human	Madagascar		2023-11-23	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18962589	A/Toliary/02885/2023	A / H3N2	Human	Madagascar		2023-11-14	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_16834453	A/Antananarivo/07603/2022	A / H1N1	Human	Madagascar		2022-12-21	6	6	PB1;PA	PB1;PA	
EPI_ISL_16834439	A/Antananarivo/07077/2022	A / H1N1	Human	Madagascar		2022-11-22	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20144929	A/Madagascar/02115/2025	A / H1N1	Human	Madagascar		2025-05-31	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20144928	A/Madagascar/02050/2025	A / H1N1	Human	Madagascar		2025-05-21	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20144896	A/Madagascar/02036/2025	A / H3N2	Human	Madagascar		2025-05-20	6	6	PB1;PA	PB1;PA	
EPI_ISL_16834694	A/Toamasina/07658/2022	A / H1N1	Human	Madagascar		2022-12-20	6	6	PB1;PA	PB1;PA	
EPI_ISL_16834693	A/Toamasina/07655/2022	A / H1N1	Human	Madagascar		2022-12-19	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_16834680	A/Toamasina/07309/2022	A / H1N1	Human	Madagascar		2022-11-29	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20144888	A/Madagascar/07126/2025	A / H3N2	Human	Madagascar		2025-05-02	6	6	PB1;PA	PB1;PA	
EPI_ISL_19686966	A/Madagascar/03415/2024	A / H3N2	Human	Madagascar		2024-11-11	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_9627667	A/Nosy Be/13357/2021	A / H3N2	Human	Madagascar		2021-12-06	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_9627664	A/Mahajanga/12820/2021	A / H3N2	Human	Madagascar		2021-12-01	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_15364185	A/Antananarivo/05015/2022	A / H3N2	Human	Madagascar		2022-06-30	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20150139	A/Madagascar/2118/2025	A / H1N1	Human	Madagascar		2025-05-28	6	6	PB1;PA	PB1;PA	
EPI_ISL_19854893	A/Madagascar/01078/2025	A / H3N2	Human	Madagascar	Analamanga	2025-04-01	6	6	PA;NS	PA;NS	
EPI_ISL_19854890	A/Madagascar/00892/2025	A / H3N2	Human	Madagascar	Analamanga	2025-03-20	6	6	PA;NS	PA;NS	
EPI_ISL_19854888	A/Madagascar/00823/2025	A / H3N2	Human	Madagascar	Analamanga	2025-03-16	6	6	PA;NS	PA;NS	
EPI_ISL_19854885	A/Madagascar/00421/2025	A / H3N2	Human	Madagascar	Atsimo-Andrefana	2025-02-10	6	6	PA;NS	PA;NS	
EPI_ISL_19854881	A/Madagascar/01183/2025	A / H1N1	Human	Madagascar	Analamanga	2025-04-08	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19854877	A/Madagascar/00426/2025	A / H1N1	Human	Madagascar	Boeny	2025-02-12	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19723431	A/Madagascar/02988/2024	A / H1N1	Human	Madagascar		2024-09-30	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_12710445	A/Madagascar/2997/2021	A / H3N2	Human	Madagascar		2021-12-02	6	6	PB2;PA	PB2;PA	
EPI_ISL_9401974	A/Nosy Be/13357/2021	A / H3N2	Human	Madagascar		2021-12-06	6	6	PB1;PA	PB1;PA	
EPI_ISL_20379678	A/Madagascar/00054/2026	A / H3N2	Human	Madagascar		2026-01-06	6	6	NP;NS	NP;NS	
EPI_ISL_20316002	A/Madagascar/04208/2025	A / H3N2	Human	Madagascar		2025-12-01	6	6	PB2;PA	PB2;PA	
EPI_ISL_20282213	A/Madagascar/04105/2025	A / H3N2	Human	Madagascar	Atsinanana	2025-11-26	6	6	PB1;PA	PB1;PA	
EPI_ISL_19530569	A/duck/Madagascar/78007/2024	A / H11N2	Duck	Madagascar	Vakinakaratra	2024-08-21	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19530567	A/duck/Madagascar/75563/2024	A / H11N2	Duck	Madagascar	Haute-matsiatra	2024-06-10	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19530564	A/duck/Madagascar/79228/2024	A / H6N1	Duck	Madagascar	Vakinankaratra	2024-09-25	6	6	PB2;PA	PB2;PA	
EPI_ISL_19530550	A/duck/Madagascar/76989/2024	A / H4N6	Duck	Madagascar	Alaotra-mangoro	2024-07-23	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19530546	A/duck/Madagascar/76293/2024	A / H11N2	Duck	Madagascar	Haute-matsiatra	2024-07-08	6	6	PB2;MP	PB2;MP	
EPI_ISL_19530545	A/duck/Madagascar/75562/2024	A / H11N2	Duck	Madagascar	Haute-matsiatra	2024-06-10	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19530540	A/duck/Madagascar/74407/2024	A / H6N1	Duck	Madagascar	Vakinankaratra	2024-05-15	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19638439	A/duck/Madagascar/81836/2024	A / H6N2	Duck	Madagascar	Vakinankaratra	2024-11-27	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20090046	A/duck/Madagascar/73790/2025	A / H6N2	Duck	Madagascar	Vakinankaratra	2025-06-11	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20090042	A/duck/Madagascar/73453/2025	A / H6N2	Duck	Madagascar	Vakinankaratra	2025-05-28	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20090040	A/duck/Madagascar/73245/2025	A / H6N1	Duck	Madagascar	Haute Matsiatra	2025-05-19	6	6	PB2;NP	PB2;NP	
EPI_ISL_20090035	A/duck/Madagascar/72068/2025	A / H6N2	Duck	Madagascar	Vakinankaratra	2025-03-26	6	6	PB1;HA	PB1;HA	
EPI_ISL_20231991	A/duck/Madagascar/74500/2025	A / H6N2	Duck	Madagascar	Vakinankaratra	2025-07-09	6	6	PB1;MP	PB1;MP	
EPI_ISL_20231987	A/duck/Madagascar/74461/2025	A / H6N1	Duck	Madagascar	Haute Matsiatra	2025-07-07	6	6	PB1;MP	PB1;MP	
EPI_ISL_20231979	A/duck/Madagascar/73058/2025	A / H6N1	Duck	Madagascar	Haute Matsiatra	2025-05-12	6	6	PB1;MP	PB1;MP	
EPI_ISL_19726533	B/Madagascar/3032/2024	B	Human	Madagascar		2024-10-09	6	6	PB1;PA	PB1;PA	
EPI_ISL_19817107	B/Madagascar/02725/2024	B	Human	Madagascar		2024-09-04	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19817102	B/Madagascar/02912/2024	B	Human	Madagascar		2024-09-26	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19817098	B/Madagascar/03088/2024	B	Human	Madagascar		2024-10-13	6	6	PB2;PA	PB2;PA	
EPI_ISL_19687158	B/Madagascar/02934/2024	B	Human	Madagascar		2024-09-23	6	6	NP;MP	NP;MP	
EPI_ISL_19334309	B/Antananarivo/01940/2024	B	Human	Madagascar		2024-06-24	6	6	NA;MP	NA;MP	
EPI_ISL_296534	B/Madagascar/3832/2017	B	Human	Madagascar		2017-09-04	6	6	PB2;PA	PB2;PA	
EPI_ISL_19704288	B/Madagascar/00154/2025	B	Human	Madagascar	Sofia	2025-01-10	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19704276	B/Madagascar/00112/2025	B	Human	Madagascar	Alaotra-Mangoro	2025-01-16	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19704275	B/Madagascar/00099/2025	B	Human	Madagascar	Alaotra-Mangoro	2025-01-14	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19704270	B/Madagascar/00031/2025	B	Human	Madagascar	Diana	2024-12-24	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19687106	B/Madagascar/03419/2024	B	Human	Madagascar		2024-11-08	6	6	PB2;MP	PB2;MP	
EPI_ISL_18271058	B/Antananarivo/01778/2023	B	Human	Madagascar		2023-06-13	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_12241656	B/Toamasina/12585/2021	B	Human	Madagascar		2021-11-20	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_12241649	B/Fianarantsoa/12422/2021	B	Human	Madagascar		2021-11-12	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_12241647	B/Antsohihy/12903/2021	B	Human	Madagascar		2021-11-26	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20254998	B/Madagascar/03049/2025	B	Human	Madagascar	Analamanga	2025-08-20	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20254992	B/Madagascar/02713/2025	B	Human	Madagascar	Vakinankaratra	2025-07-16	6	6	PB1;NP	PB1;NP	
EPI_ISL_20254991	B/Madagascar/02631/2025	B	Human	Madagascar	Amoron'i Mania	2025-07-08	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20254979	B/Madagascar/02196/2025	B	Human	Madagascar	Amoron'i Mania	2025-06-03	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20090067	B/Madagascar/02274/2025	B	Human	Madagascar	Analamanga	2025-06-11	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20090066	B/Madagascar/01714/2025	B	Human	Madagascar	Analamanga	2025-05-06	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_20090065	B/Madagascar/01319/2025	B	Human	Madagascar	Analamanga	2025-04-14	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18607732	B/Madagascar/2449/2023	B	Human	Madagascar		2023-09-18	6	6	PB1;PA	PB1;PA	
EPI_ISL_12709843	B/Madagascar/5467/2021	B	Human	Madagascar		2021-10-06	6	6	PB2;PA	PB2;PA	
EPI_ISL_18962728	B/Mahajanga/02635/2023	B	Human	Madagascar		2023-10-16	6	6	PB1;MP	PB1;MP	
EPI_ISL_18486175	B/Antananarivo/01750/2023	B	Human	Madagascar		2023-06-08	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18486173	B/Antananarivo/50041/2023	B	Human	Madagascar		2023-06-06	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18486171	B/Fianarantsoa/01687/2023	B	Human	Madagascar		2023-06-01	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18486162	B/Toamasina/01249/2023	B	Human	Madagascar		2023-04-25	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18167596	B/Antananarivo/01738/2023	B	Human	Madagascar		2023-06-07	6	6	PB2;NA	PB2;NA	
EPI_ISL_18167590	B/Moramanga/01789/2023	B	Human	Madagascar		2023-06-14	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18167574	B/Toamasina/01249/2023	B	Human	Madagascar		2023-04-25	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18167571	B/Toamasina/01420/2023	B	Human	Madagascar		2023-05-04	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_18167567	B/Antananarivo/01669/2023	B	Human	Madagascar		2023-05-30	6	6	NA;MP	NA;MP	
EPI_ISL_19774346	B/Madagascar/03215/2024	B	Human	Madagascar		2024-10-21	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19774340	B/Madagascar/03363/2024	B	Human	Madagascar		2024-11-04	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_9140554	B/Toamasina/12409/2021	B	Human	Madagascar		2021-11-15	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_9140551	B/Antananarivo/12208/2021	B	Human	Madagascar		2021-10-25	6	6	PB2;PB1	PB2;PB1	
EPI_ISL_19530508	A/Madagascar/01966/2024	A / H1N1	Human	Madagascar	Vakinankaratra	2024-06-24	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19530506	A/Madagascar/01828/2024	A / H1N1	Human	Madagascar	Itasy	2024-06-17	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19530505	A/Madagascar/01760/2024	A / H1N1	Human	Madagascar	Itasy	2024-06-14	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19530504	A/Madagascar/01759/2024	A / H1N1	Human	Madagascar	Itasy	2024-06-14	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19530503	A/Madagascar/01758/2024	A / H1N1	Human	Madagascar	Itasy	2024-06-14	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19530502	A/Madagascar/01753/2024	A / H1N1	Human	Madagascar	Itasy	2024-06-14	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19530500	A/Madagascar/01747/2024	A / H1N1	Human	Madagascar	Itasy	2024-06-14	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19530499	A/Madagascar/01741/2024	A / H1N1	Human	Madagascar	Itasy	2024-06-14	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19530496	A/Madagascar/00272/2024	A / H3N2	Human	Madagascar	Haute Matsiatra	2024-01-23	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19530494	A/Madagascar/00144/2024	A / H3N2	Human	Madagascar	Atsimo-Andrefana	2024-01-09	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19530493	A/Madagascar/00143/2024	A / H3N2	Human	Madagascar	Atsimo-Andrefana	2024-01-08	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19530489	A/Madagascar/02930/2024	A / H1N1	Human	Madagascar	Amoron'i Mania	2024-09-27	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19530478	A/Madagascar/01791/2024	A / H1N1	Human	Madagascar	Itasy	2024-06-17	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_19334298	A/Ihosy/02027/2024	A / H1N1	Human	Madagascar		2024-07-03	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_20090051	A/Madagascar/01426/2025	A / H1N1	Human	Madagascar	Analamanga	2025-04-17	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_20090047	A/Madagascar/00128/2025	A / H3N2	Human	Madagascar	Analamanga	2025-01-20	5	5	PB2;PB1;PA	PB2;PB1;PA	
EPI_ISL_232983	A/Antananarivo/1743/2016	A / H3N2	Human	Madagascar		2016-04-20	5	5	PB2;PB1;PA	PB2;PB1;PA	
